pid,day,session,trial,condition,cond_name,match,response,rt,acc
1,2,1,54,4,none,1,1,561.9999999999709,1
1,2,1,55,4,none,2,2,980,1
1,2,1,56,4,none,1,1,849,1
1,2,1,57,4,none,2,1,1165.999999999971,0
1,2,1,58,4,none,2,2,1268,1
1,2,1,59,4,none,2,2,1167,1
1,2,1,60,4,none,2,1,1466,0
1,2,1,61,1,name,1,2,2028,0
1,2,1,62,1,name,1,1,1150,1
1,2,1,63,1,name,1,1,1193,1
1,2,1,64,1,name,2,2,1078.999999999971,1
1,2,1,65,1,name,1,1,804,1
1,2,1,66,1,name,2,2,815.9999999999709,1
1,2,1,67,1,name,2,2,874,1
1,2,1,68,1,name,1,1,1107,1
1,2,1,69,1,name,2,2,757,1
1,2,1,70,1,name,2,2,1017,1
1,2,1,71,2,tie,1,1,1065,1
1,2,1,72,2,tie,2,2,1210,1
1,2,1,73,2,tie,2,2,1173.999999999971,1
1,2,1,74,2,tie,2,2,1178,1
1,2,1,75,2,tie,1,2,1763,0
1,2,1,76,2,tie,1,2,1595,0
1,2,1,77,2,tie,2,2,1004.9999999999709,1
1,2,1,78,2,tie,2,1,1468,0
1,2,1,79,2,tie,1,2,760,0
1,2,1,80,2,tie,1,1,1325,1
1,2,2,1,3,both,2,2,1668,1
1,2,2,2,3,both,2,2,686,1
1,2,2,3,3,both,1,1,644,1
1,2,2,4,3,both,2,2,719,1
1,2,2,5,3,both,1,1,945,1
1,2,2,6,3,both,1,1,1275,1
1,2,2,7,3,both,1,1,765,1
1,2,2,8,3,both,1,1,775,1
1,2,2,9,3,both,2,2,896,1
1,2,2,10,3,both,2,2,1304.9999999999964,1
1,2,2,11,4,none,2,1,1373,0
1,2,2,12,4,none,2,2,751,1
1,2,2,13,4,none,1,1,1050,1
1,2,2,14,4,none,1,2,881,0
1,2,2,15,4,none,2,2,777,1
1,2,2,16,4,none,1,1,916,1
1,2,2,17,4,none,1,1,856,1
1,2,2,18,4,none,2,1,1509,0
1,2,2,19,4,none,1,1,646,1
1,2,2,20,4,none,2,2,883,1
1,2,2,21,1,name,1,1,1405.9999999999927,1
1,2,2,22,1,name,2,2,727,1
1,2,2,23,1,name,1,1,1177,1
1,2,2,24,1,name,2,2,818,1
1,2,2,25,1,name,2,2,1465,1
1,2,2,26,1,name,1,1,1022,1
1,2,2,27,1,name,2,2,753,1
1,2,2,28,1,name,1,1,867,1
1,2,2,29,1,name,2,2,783,1
1,2,2,30,1,name,1,2,896,0
1,2,2,31,3,both,1,1,830,1
1,2,2,32,3,both,1,1,875,1
1,2,2,33,3,both,1,1,602,1
1,2,2,34,3,both,2,2,876,1
1,2,2,35,3,both,1,2,1007.9999999999854,0
1,2,2,36,3,both,2,1,743,0
1,2,2,37,3,both,2,2,1251,1
1,2,2,38,3,both,2,2,920.9999999999854,1
1,2,2,39,3,both,1,1,523.9999999999854,1
1,2,2,40,3,both,2,2,827,1
1,2,2,41,2,tie,2,2,1143,1
1,2,2,42,2,tie,1,2,1824,0
1,2,2,43,2,tie,1,1,792,1
1,2,2,44,2,tie,1,1,1235,1
1,2,2,45,2,tie,2,2,1011,1
1,2,2,46,2,tie,2,2,938,1
1,2,2,47,2,tie,1,1,655,1
1,2,2,48,2,tie,1,2,1033.9999999999854,0
1,2,2,49,2,tie,2,2,1239,1
1,2,2,50,2,tie,2,2,883,1
1,2,2,51,4,none,2,2,712,1
1,2,2,52,4,none,1,1,1123.999999999971,1
1,2,2,53,4,none,2,2,1312,1
1,2,2,54,4,none,2,2,963,1
1,2,2,55,4,none,1,1,1514,1
1,2,2,56,4,none,1,1,1156,1
1,2,2,57,4,none,1,1,827,1
1,2,2,58,4,none,1,1,669,1
1,2,2,59,4,none,2,2,820,1
1,2,2,60,4,none,2,2,1046,1
1,2,2,61,1,name,1,1,1084,1
1,2,2,62,1,name,2,2,882,1
1,2,2,63,1,name,1,1,1104,1
1,2,2,64,1,name,1,1,1178,1
1,2,2,65,1,name,2,1,1334,0
1,2,2,66,1,name,2,2,1549.999999999971,1
1,2,2,67,1,name,2,2,1356,1
1,2,2,68,1,name,1,1,655,1
1,2,2,69,1,name,1,1,958,1
1,2,2,70,1,name,2,2,760,1
1,2,2,71,2,tie,1,2,1170,0
1,2,2,72,2,tie,2,2,847,1
1,2,2,73,2,tie,1,1,905,1
1,2,2,74,2,tie,2,2,995,1
1,2,2,75,2,tie,2,2,618.9999999999709,1
1,2,2,76,2,tie,1,2,625,0
1,2,2,77,2,tie,1,1,1279.999999999971,1
1,2,2,78,2,tie,2,2,718,1
1,2,2,79,2,tie,1,1,759,1
1,2,2,80,2,tie,2,2,911,1
1,3,1,1,3,both,1,1,1456,1
1,3,1,2,3,both,1,1,821,1
1,3,1,3,3,both,2,2,1280.999999999999,1
1,3,1,4,3,both,1,2,1426,0
1,3,1,5,3,both,1,2,2113,0
1,3,1,6,3,both,2,2,1334,1
1,3,1,7,3,both,1,1,1413,1
1,3,1,8,3,both,2,2,816.9999999999964,1
1,3,1,9,3,both,2,2,888,1
1,3,1,10,3,both,2,2,985,1
1,3,1,11,1,name,2,2,1108,1
1,3,1,12,1,name,1,2,1823,0
1,3,1,13,1,name,2,2,1621,1
1,3,1,14,1,name,2,2,1165,1
1,3,1,15,1,name,2,2,924,1
1,3,1,16,1,name,1,1,947,1
1,3,1,17,1,name,1,1,1270,1
1,3,1,18,1,name,2,2,1105.9999999999927,1
1,3,1,19,1,name,1,1,1058,1
1,3,1,20,1,name,1,1,1082,1
1,3,1,21,2,tie,1,1,936.9999999999927,1
1,3,1,22,2,tie,2,2,986,1
1,3,1,23,2,tie,1,1,1125,1
1,3,1,24,2,tie,2,2,1441,1
1,3,1,25,2,tie,2,2,1715,1
1,3,1,26,2,tie,1,1,1798,1
1,3,1,27,2,tie,1,1,1668,1
1,3,1,28,2,tie,2,2,1129.9999999999854,1
1,3,1,29,2,tie,2,2,1464,1
1,3,1,30,2,tie,1,1,1146,1
1,3,1,31,4,none,1,1,1220,1
1,3,1,32,4,none,2,2,1178,1
1,3,1,33,4,none,2,1,1132,0
1,3,1,34,4,none,2,2,1329,1
1,3,1,35,4,none,2,2,1977,1
1,3,1,36,4,none,1,1,979,1
1,3,1,37,4,none,1,1,916,1
1,3,1,38,4,none,1,1,1112,1
1,3,1,39,4,none,2,1,1431,0
1,3,1,40,4,none,1,1,875,1
1,3,1,41,1,name,2,2,1956.9999999999854,1
1,3,1,42,1,name,2,2,1502,1
1,3,1,43,1,name,2,2,1191,1
1,3,1,44,1,name,2,2,1099.9999999999854,1
1,3,1,45,1,name,1,2,1333,0
1,3,1,46,1,name,1,1,1998,1
1,3,1,47,1,name,1,2,1161,0
1,3,1,48,1,name,1,1,1237,1
1,3,1,49,1,name,1,1,790,1
1,3,1,50,1,name,2,2,891,1
1,3,1,51,4,none,1,1,789,1
1,3,1,52,4,none,2,2,1074,1
1,3,1,53,4,none,2,1,1297,0
1,3,1,54,4,none,2,1,1573,0
1,3,1,55,4,none,2,1,1162,0
1,3,1,56,4,none,1,1,819,1
1,3,1,57,4,none,2,2,1356,1
1,3,1,58,4,none,1,1,716,1
1,3,1,59,4,none,1,1,960.9999999999709,1
1,3,1,60,4,none,1,1,755,1
1,3,1,61,2,tie,2,2,1516,1
1,3,1,62,2,tie,1,1,1188,1
1,3,1,63,2,tie,1,1,1760,1
1,3,1,64,2,tie,1,1,1380,1
1,3,1,65,2,tie,2,2,823,1
1,3,1,66,2,tie,2,2,1098,1
1,3,1,67,2,tie,1,1,790,1
1,3,1,68,2,tie,2,2,1163,1
1,3,1,69,2,tie,1,2,1660,0
1,3,1,70,2,tie,2,2,1160,1
1,3,1,71,3,both,2,2,1472,1
1,3,1,72,3,both,1,1,852,1
1,3,1,73,3,both,1,1,1388,1
1,3,1,74,3,both,1,1,968,1
1,3,1,75,3,both,2,1,889,0
1,3,1,76,3,both,1,1,1067,1
1,3,1,77,3,both,1,1,1106.999999999971,1
1,3,1,78,3,both,2,2,1832,1
1,3,1,79,3,both,2,2,1313,1
1,3,1,80,3,both,2,1,1409,0
1,3,2,1,2,tie,2,2,1502,1
1,3,2,2,2,tie,2,2,2143,1
1,3,2,3,2,tie,1,2,1721,0
1,3,2,4,2,tie,1,2,1228,0
1,3,2,5,2,tie,2,2,2082,1
1,3,2,6,2,tie,1,2,1758,0
1,3,2,7,2,tie,2,2,1738,1
1,3,2,8,2,tie,1,1,1819,1
1,3,2,9,2,tie,1,1,1145.9999999999964,1
1,3,2,10,2,tie,2,2,787,1
1,3,2,11,4,none,2,2,1407,1
1,3,2,12,4,none,1,2,1507,0
1,3,2,13,4,none,2,2,1562,1
1,3,2,14,4,none,1,1,1018,1
1,3,2,15,4,none,2,2,1177,1
1,3,2,16,4,none,1,2,1383.9999999999927,0
1,3,2,17,4,none,2,2,975,1
1,3,2,18,4,none,1,1,1047,1
1,3,2,19,4,none,2,2,740,1
1,3,2,20,4,none,1,1,881,1
1,3,2,21,1,name,1,2,1563,0
1,3,2,22,1,name,1,1,1449,1
1,3,2,23,1,name,2,2,1124,1
1,3,2,24,1,name,2,2,1185,1
1,3,2,25,1,name,2,2,2028.9999999999927,1
1,3,2,26,1,name,1,1,1508,1
1,3,2,27,1,name,2,2,1488,1
1,3,2,28,1,name,2,2,1102,1
1,3,2,29,1,name,1,1,1505,1
1,3,2,31,4,none,1,1,1527,1
1,3,2,32,4,none,2,2,1308,1
1,3,2,33,4,none,1,1,744,1
1,3,2,34,4,none,2,2,781,1
1,3,2,35,4,none,1,1,875,1
1,3,2,36,4,none,1,1,1155,1
1,3,2,37,4,none,2,2,1179,1
1,3,2,38,4,none,2,2,1680,1
1,3,2,39,4,none,2,2,1073,1
1,3,2,40,4,none,1,1,952,1
1,3,2,41,3,both,1,1,1879,1
1,3,2,42,3,both,1,1,1234,1
1,3,2,43,3,both,2,2,932,1
1,3,2,44,3,both,1,2,736.9999999999854,0
1,3,2,45,3,both,2,2,1860.9999999999854,1
1,3,2,46,3,both,1,1,1015.9999999999854,1
1,3,2,47,3,both,2,2,803.9999999999854,1
1,3,2,48,3,both,2,2,1040,1
1,3,2,49,3,both,2,1,674,0
1,3,2,50,3,both,1,1,900,1
1,3,2,52,1,name,2,2,1343,1
1,3,2,53,1,name,2,1,1182,0
1,3,2,54,1,name,1,1,2132,1
1,3,2,55,1,name,2,2,1085,1
1,3,2,56,1,name,1,1,939,1
1,3,2,57,1,name,1,1,1292,1
1,3,2,58,1,name,1,1,995,1
1,3,2,59,1,name,2,2,696,1
1,3,2,60,1,name,2,2,1388,1
1,3,2,61,2,tie,2,2,1484,1
1,3,2,62,2,tie,2,2,1327,1
1,3,2,63,2,tie,2,1,797,0
1,3,2,64,2,tie,1,1,1625,1
1,3,2,65,2,tie,1,1,543,1
1,3,2,66,2,tie,1,1,813,1
1,3,2,67,2,tie,2,1,1602,0
1,3,2,68,2,tie,2,1,876,0
1,3,2,69,2,tie,1,1,1071.999999999971,1
1,3,2,70,2,tie,1,2,1547,0
1,3,2,71,3,both,1,1,798,1
1,3,2,72,3,both,1,1,655,1
1,3,2,73,3,both,1,1,1222,1
1,3,2,74,3,both,2,2,1091,1
1,3,2,75,3,both,2,2,785,1
1,3,2,76,3,both,2,2,1055,1
1,3,2,77,3,both,2,2,796,1
1,3,2,78,3,both,2,2,858,1
1,3,2,79,3,both,1,1,554,1
1,3,2,80,3,both,1,2,928,0
1,4,1,1,1,name,2,2,1727.9999999999998,1
1,4,1,2,1,name,1,1,1083,1
1,4,1,3,1,name,2,2,1271,1
1,4,1,4,1,name,2,2,767,1
1,4,1,5,1,name,1,1,1081,1
1,4,1,6,1,name,2,2,1576,1
1,4,1,7,1,name,2,2,1463,1
1,4,1,8,1,name,1,2,936,0
1,4,1,9,1,name,1,1,1081,1
1,4,1,10,1,name,1,1,1029,1
1,4,1,11,3,both,1,1,1081,1
1,4,1,12,3,both,1,1,863,1
1,4,1,13,3,both,2,2,746,1
1,4,1,14,3,both,1,2,1549,0
1,4,1,15,3,both,2,2,1407.9999999999927,1
1,4,1,16,3,both,2,2,1449,1
1,4,1,17,3,both,2,1,1267,0
1,4,1,18,3,both,2,2,1031,1
1,4,1,19,3,both,1,2,1324,0
1,4,1,20,3,both,1,1,1261,1
1,4,1,21,2,tie,2,2,963,1
1,4,1,22,2,tie,2,2,1062,1
1,4,1,23,2,tie,2,2,1675,1
1,4,1,24,2,tie,1,1,1258,1
1,4,1,25,2,tie,1,1,1434,1
1,4,1,26,2,tie,2,2,1009,1
1,4,1,27,2,tie,1,1,1146,1
1,4,1,28,2,tie,1,1,1580,1
1,4,1,29,2,tie,1,1,1400,1
1,4,1,30,2,tie,2,2,1380,1
1,4,1,31,4,none,2,2,1254,1
1,4,1,32,4,none,2,2,1094,1
1,4,1,33,4,none,1,1,1105,1
1,4,1,34,4,none,2,2,1133,1
1,4,1,35,4,none,1,1,1698,1
1,4,1,36,4,none,2,2,759,1
1,4,1,37,4,none,1,1,740,1
1,4,1,38,4,none,1,1,891,1
1,4,1,39,4,none,1,1,860,1
1,4,1,40,4,none,2,1,1228,0
1,4,1,41,3,both,2,2,1080,1
1,4,1,42,3,both,2,2,791,1
1,4,1,43,3,both,1,1,1125,1
1,4,1,44,3,both,1,1,891,1
1,4,1,45,3,both,1,2,1111,0
1,4,1,46,3,both,1,1,1090,1
1,4,1,47,3,both,2,2,1063,1
1,4,1,48,3,both,1,1,1112,1
1,4,1,49,3,both,2,2,1864,1
1,4,1,50,3,both,2,2,754,1
1,4,1,51,1,name,1,1,1074,1
1,4,1,52,1,name,2,2,1252,1
1,4,1,53,1,name,2,2,852,1
1,4,1,54,1,name,2,2,623,1
1,4,1,55,1,name,2,2,1144,1
1,4,1,56,1,name,1,1,1287,1
1,4,1,57,1,name,1,2,1135,0
1,4,1,58,1,name,1,1,1210,1
1,4,1,59,1,name,1,1,779,1
1,4,1,60,1,name,2,2,993,1
1,4,1,61,4,none,2,2,1476,1
1,4,1,62,4,none,1,1,1485,1
1,4,1,63,4,none,2,2,1145,1
1,4,1,64,4,none,2,2,856,1
1,4,1,65,4,none,1,2,2120,0
1,4,1,66,4,none,1,1,777.9999999999709,1
1,4,1,67,4,none,2,2,1595,1
1,4,1,68,4,none,2,2,817,1
1,4,1,69,4,none,1,1,989,1
1,4,1,70,4,none,1,1,870,1
1,4,1,71,2,tie,1,1,1193.999999999971,1
1,4,1,72,2,tie,1,1,906,1
1,4,1,73,2,tie,2,2,1226,1
1,4,1,74,2,tie,2,2,1301,1
1,4,1,75,2,tie,2,2,1273,1
1,4,1,76,2,tie,1,1,1117,1
1,4,1,77,2,tie,2,2,742,1
1,4,1,78,2,tie,2,2,697,1
1,4,1,79,2,tie,1,2,1226,0
1,4,1,80,2,tie,1,2,1736,0
1,4,2,2,4,none,2,1,1710,0
1,4,2,3,4,none,2,2,1595.9999999999982,1
1,4,2,4,4,none,1,1,1178,1
1,4,2,5,4,none,2,2,1856,1
1,4,2,6,4,none,2,2,1829,1
1,4,2,7,4,none,1,1,1644,1
1,4,2,8,4,none,1,1,1271,1
1,4,2,9,4,none,2,2,1375,1
1,4,2,10,4,none,1,1,1536,1
1,4,2,11,1,name,1,1,1492,1
1,4,2,12,1,name,2,2,1327,1
1,4,2,13,1,name,1,1,1303,1
1,4,2,14,1,name,2,2,1042,1
1,4,2,15,1,name,2,2,1367,1
1,4,2,16,1,name,1,1,1121,1
1,4,2,17,1,name,1,1,1566,1
1,4,2,18,1,name,1,2,2123,0
1,4,2,19,1,name,2,2,1345,1
1,4,2,20,1,name,2,2,1509,1
1,4,2,22,2,tie,2,2,1203,1
1,4,2,23,2,tie,1,1,1078,1
1,4,2,24,2,tie,2,2,1321.9999999999927,1
1,4,2,25,2,tie,2,2,1328,1
1,4,2,26,2,tie,1,1,1842,1
1,4,2,27,2,tie,1,1,2109,1
1,4,2,28,2,tie,2,2,1046,1
1,4,2,29,2,tie,2,2,1099,1
1,4,2,30,2,tie,1,1,1023,1
1,4,2,31,1,name,1,1,837,1
1,4,2,32,1,name,2,1,1377,0
1,4,2,33,1,name,2,2,927,1
1,4,2,34,1,name,1,1,906,1
1,4,2,35,1,name,1,1,1613,1
1,4,2,36,1,name,2,2,1356,1
1,4,2,37,1,name,1,1,2141,1
1,4,2,38,1,name,2,2,1618,1
1,4,2,39,1,name,2,2,907,1
1,4,2,40,1,name,1,1,814,1
1,4,2,41,3,both,2,2,1494.9999999999854,1
1,4,2,42,3,both,1,1,1178.9999999999854,1
1,4,2,43,3,both,2,2,680.9999999999854,1
1,4,2,44,3,both,1,1,976,1
1,4,2,45,3,both,2,2,981,1
1,4,2,46,3,both,2,2,918,1
1,4,2,47,3,both,2,2,718,1
1,4,2,48,3,both,1,1,700,1
1,4,2,49,3,both,1,1,1108,1
1,4,2,50,3,both,1,1,715,1
1,4,2,51,4,none,2,2,901,1
1,4,2,52,4,none,1,1,1455,1
1,4,2,53,4,none,1,1,587,1
1,4,2,54,4,none,2,2,1581,1
1,4,2,55,4,none,2,2,985,1
1,4,2,57,4,none,1,1,1534,1
