pid,file,NAME,ID,RESPONSE,RT,STIM,GROUP,PICNOS1,PICNOS2,MATCH,ORTN1,ORTN2,PICID1,PICID2,DAY,SESSION
1,data/raw/S1.txt,aa,aa_06nov_behav51,2,831,51,2,54,52,1,3,1,33,33,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav52,2,790,52,2,32,46,2,2,1,5,26,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav53,2,739,53,2,44,33,2,2,3,20,5,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav54,1,555,54,2,48,35,2,3,2,26,8,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav55,1,714,55,2,37,38,1,1,2,11,11,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav56,2,775,56,2,34,60,2,1,3,8,39,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav57,2,600,57,2,58,45,2,1,3,39,20,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav58,1,1075,58,2,40,41,1,1,2,17,17,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav59,1,732,59,2,56,55,1,2,1,37,37,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav60,1,615,60,2,51,50,1,3,2,27,27,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav61,1,1317,61,1,26,25,1,2,1,38,38,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav62,2,825,62,1,11,24,2,2,3,13,34,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav63,2,925,63,1,9,2,2,3,2,12,2,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav64,1,800,64,1,6,5,1,3,2,4,4,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav65,2,1716,65,1,30,29,1,3,2,40,40,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav66,1,1251,66,1,13,12,2,1,3,24,13,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav67,2,1479,67,1,16,18,1,1,3,29,29,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav68,2,935,68,1,1,8,2,1,2,2,12,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav69,1,1412,69,1,19,20,1,1,2,32,32,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav70,2,724,70,1,23,15,2,2,3,34,24,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav71,2,1049,71,2,50,37,2,2,1,27,11,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav72,1,992,72,2,32,33,1,2,3,5,5,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav73,1,776,73,2,58,59,1,1,2,39,39,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav74,2,907,74,2,47,42,2,2,3,26,17,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav75,2,1321,75,2,36,46,2,3,1,8,26,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav76,2,667,76,2,40,50,2,1,2,17,27,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav77,1,707,77,2,55,56,1,1,2,37,37,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav78,1,1041,78,2,52,53,1,1,2,33,33,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav79,2,935,79,2,39,35,2,3,2,11,8,1,1
1,data/raw/S1.txt,aa,aa_06nov_behav80,2,1136,80,2,45,44,1,3,2,20,20,1,1
2,data/raw/S10.txt,al,al_06nov_behav1,1,2060,1,4,105,103,1,3,1,15,15,1,1
2,data/raw/S10.txt,al,al_06nov_behav2,1,1206,2,4,119,120,1,2,3,35,35,1,1
2,data/raw/S10.txt,al,al_06nov_behav3,1,1140,3,4,108,106,1,3,1,25,25,1,1
2,data/raw/S10.txt,al,al_06nov_behav4,NA,NA,4,4,115,117,1,1,3,31,31,1,1
2,data/raw/S10.txt,al,al_06nov_behav5,2,1214,5,4,93,109,2,3,1,1,28,1,1
2,data/raw/S10.txt,al,al_06nov_behav6,2,1485,6,4,98,96,2,2,3,7,6,1,1
2,data/raw/S10.txt,al,al_06nov_behav7,1,1156,7,4,100,101,1,1,2,14,14,1,1
2,data/raw/S10.txt,al,al_06nov_behav8,2,1381,8,4,94,99,2,1,3,6,7,1,1
2,data/raw/S10.txt,al,al_06nov_behav9,2,1485,9,4,109,113,2,1,2,28,30,1,1
2,data/raw/S10.txt,al,al_06nov_behav10,2,1852,10,4,113,91,2,2,1,30,1,1,1
2,data/raw/S10.txt,al,al_06nov_behav11,1,1723,11,1,23,16,2,2,1,34,29,1,1
2,data/raw/S10.txt,al,al_06nov_behav12,2,2074,12,1,16,20,2,1,2,29,32,1,1
2,data/raw/S10.txt,al,al_06nov_behav13,2,1737,13,1,8,1,2,2,1,12,2,1,1
2,data/raw/S10.txt,al,al_06nov_behav14,1,1197,14,1,12,10,1,3,1,13,13,1,1
2,data/raw/S10.txt,al,al_06nov_behav15,2,1114,15,1,21,23,2,3,2,32,34,1,1
2,data/raw/S10.txt,al,al_06nov_behav16,1,1304,16,1,6,4,1,3,1,4,4,1,1
2,data/raw/S10.txt,al,al_06nov_behav17,1,1581,17,1,28,30,1,1,3,40,40,1,1
2,data/raw/S10.txt,al,al_06nov_behav18,1,1665,18,1,14,13,1,2,1,24,24,1,1
2,data/raw/S10.txt,al,al_06nov_behav19,1,1607,19,1,25,26,1,1,2,38,38,1,1
2,data/raw/S10.txt,al,al_06nov_behav20,2,1959,20,1,1,8,2,1,2,2,12,1,1
2,data/raw/S10.txt,al,al_06nov_behav21,2,1222,21,3,75,77,2,3,2,18,19,1,1
2,data/raw/S10.txt,al,al_06nov_behav22,2,1674,22,3,77,64,2,2,1,19,9,1,1
2,data/raw/S10.txt,al,al_06nov_behav23,1,1492,23,3,86,85,1,2,1,23,23,1,1
2,data/raw/S10.txt,al,al_06nov_behav24,1,1168,24,3,82,83,1,1,2,22,22,1,1
2,data/raw/S10.txt,al,al_06nov_behav25,2,1087,25,3,79,63,2,1,3,21,3,1,1
2,data/raw/S10.txt,al,al_06nov_behav26,1,1044,26,3,90,88,1,3,1,36,36,1,1
2,data/raw/S10.txt,al,al_06nov_behav27,2,1075,27,3,70,72,1,1,3,16,16,1,1
2,data/raw/S10.txt,al,al_06nov_behav28,2,913,28,3,63,79,2,3,1,3,21,1,1
2,data/raw/S10.txt,al,al_06nov_behav29,2,959,29,3,65,75,2,2,3,9,18,1,1
2,data/raw/S10.txt,al,al_06nov_behav30,1,1445,30,3,67,69,1,1,3,10,10,1,1
2,data/raw/S10.txt,al,al_06nov_behav31,2,1148,31,4,91,107,2,1,2,1,25,1,1
2,data/raw/S10.txt,al,al_06nov_behav32,1,1760,32,4,110,111,1,2,3,28,28,1,1
2,data/raw/S10.txt,al,al_06nov_behav33,1,1659,33,4,115,116,1,1,2,31,31,1,1
2,data/raw/S10.txt,al,al_06nov_behav34,1,1850,34,4,113,112,1,2,1,30,30,1,1
2,data/raw/S10.txt,al,al_06nov_behav35,1,1096,35,4,97,99,1,1,3,7,7,1,1
2,data/raw/S10.txt,al,al_06nov_behav36,2,1096,36,4,101,94,2,2,1,14,6,1,1
2,data/raw/S10.txt,al,al_06nov_behav37,1,1252,37,4,120,118,1,3,1,35,35,1,1
2,data/raw/S10.txt,al,al_06nov_behav38,2,1195,38,4,103,101,2,1,2,15,14,1,1
2,data/raw/S10.txt,al,al_06nov_behav39,2,769,39,4,96,91,2,3,1,6,1,1,1
2,data/raw/S10.txt,al,al_06nov_behav40,1,1024,40,4,108,103,2,3,1,25,15,1,1
2,data/raw/S10.txt,al,al_06nov_behav41,1,1842,41,1,4,5,1,1,2,4,4,1,1
2,data/raw/S10.txt,al,al_06nov_behav42,2,1424,42,1,2,24,2,2,3,2,34,1,1
2,data/raw/S10.txt,al,al_06nov_behav43,2,1053,43,1,15,8,2,3,2,24,12,1,1
2,data/raw/S10.txt,al,al_06nov_behav44,1,1267,44,1,10,11,1,1,2,13,13,1,1
2,data/raw/S10.txt,al,al_06nov_behav45,NA,NA,45,1,25,27,1,1,3,38,38,1,1
2,data/raw/S10.txt,al,al_06nov_behav46,1,1347,46,1,21,19,1,3,1,32,32,1,1
2,data/raw/S10.txt,al,al_06nov_behav47,1,1275,47,1,30,28,1,3,1,40,40,1,1
2,data/raw/S10.txt,al,al_06nov_behav48,2,1341,48,1,17,13,2,2,1,29,24,1,1
2,data/raw/S10.txt,al,al_06nov_behav49,2,1080,49,1,7,2,2,1,2,12,2,1,1
2,data/raw/S10.txt,al,al_06nov_behav50,2,1582,50,1,23,18,2,2,3,34,29,1,1
2,data/raw/S10.txt,al,al_06nov_behav51,2,2049,51,2,39,46,2,3,1,11,26,1,1
2,data/raw/S10.txt,al,al_06nov_behav52,1,1199,52,2,51,49,1,3,1,27,27,1,1
2,data/raw/S10.txt,al,al_06nov_behav53,2,1765,53,2,52,54,1,1,3,33,33,1,1
2,data/raw/S10.txt,al,al_06nov_behav54,1,764,54,2,55,56,1,1,2,37,37,1,1
